id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,gmaps_url,source
gunung-halimun,Gunung Halimun,Alam,,,,-6.846667,107.439444,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Halimun%2C%20Bandung,osm
pasir-rampadan,Pasir Rampadan,Alam,,,,-7.050556,107.502778,,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Rampadan%2C%20Bandung,osm
gunung-batukarut,Gunung Batukarut,Alam,,,,-6.843611,107.809722,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Batukarut%2C%20Bandung,osm
gunung-tanjaknangsi,Gunung Tanjaknangsi,Alam,,,,-7.103056,107.521111,,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Tanjaknangsi%2C%20Bandung,osm
gunung-sereh,Gunung Sereh,Alam,,,,-6.821667,107.595556,,"['1226', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Sereh%2C%20Bandung,osm
pasir-malang,Pasir Malang,Alam,,,,-6.752778,107.390833,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Malang%2C%20Bandung,osm
pasir-susuru,Pasir Susuru,Alam,,,,-6.796389,107.361944,,"['mt', 'peak', 'modify_date:_2007-05-18']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Susuru%2C%20Bandung,osm
gunung-hayawong,Gunung Hayawong,Alam,,,,-6.990833,107.446667,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Hayawong%2C%20Bandung,osm
gunung-kerenceng,Gunung Kerenceng,Alam,,,,-6.9340605,107.8819011,,"['1742', 'mt', 'peak', '863', 'q24883976']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kerenceng%2C%20Bandung,osm
pasir-panjandakan,Pasir Panjandakan,Alam,,,,-6.8742736,107.6777789,,"['hll', 'peak', 'modify_date:_2002-09-23']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Panjandakan%2C%20Bandung,osm
gunung-cikaramas,Gunung Cikaramas,Alam,,,,-6.865833,107.821944,,"['1055', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cikaramas%2C%20Bandung,osm
pasir-gadung,Pasir Gadung,Alam,,,,-6.784722,107.389444,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Gadung%2C%20Bandung,osm
gunung-meungpeuk,Gunung Meungpeuk,Alam,,,,-7.1961,107.7907,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Meungpeuk%2C%20Bandung,osm
pasir-cikur,Pasir Cikur,Alam,,,,-6.801111,107.444444,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cikur%2C%20Bandung,osm
gunung-banenjoan,Gunung Banenjoan,Alam,,,,-7.078889,107.530556,,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Banenjoan%2C%20Bandung,osm
pasir-dage,Pasir Dage,Alam,,,,-6.829722,107.473056,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Dage%2C%20Bandung,osm
pasir-ipis,Pasir Ipis,Alam,,,,-6.788333,107.504444,,"['1042', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Ipis%2C%20Bandung,osm
gunung-sadu,Gunung Sadu,Alam,,,,-7.035,107.510556,,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Sadu%2C%20Bandung,osm
pasir-huni,Pasir Huni,Alam,,,,-6.811944,107.388889,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Huni%2C%20Bandung,osm
pasir-lembang,Pasir Lembang,Alam,,,,-6.8825,107.826389,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Lembang%2C%20Bandung,osm
gunung-panganten,Gunung Panganten,Alam,,,,-6.88,107.511389,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Panganten%2C%20Bandung,osm
pasir-kuya,Pasir Kuya,Alam,,,,-6.947222,107.405,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Kuya%2C%20Bandung,osm
pasir-putra,Pasir Putra,Alam,,,,-7.126389,107.722778,,"['hll', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Putra%2C%20Bandung,osm
pasir-anten,Pasir Anten,Alam,,,,-6.897222,107.893333,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Anten%2C%20Bandung,osm
pasir-cibuntu,Pasir Cibuntu,Alam,,,,-6.854167,107.411389,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cibuntu%2C%20Bandung,osm
gunung-kasar,Gunung Kasar,Alam,,,,-7.0656,107.4788,,"['mt', 'peak', 'modify_date:_2008-03-26']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kasar%2C%20Bandung,osm
pasir-naringgul,Pasir Naringgul,Alam,,,,-7.0485,107.448,,"['mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Naringgul%2C%20Bandung,osm
gunung-batukareta,Gunung Batukareta,Alam,,,,-7.229444,107.736111,,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Batukareta%2C%20Bandung,osm
pasir-karikil,Pasir Karikil,Alam,,,,-6.835556,107.400833,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Karikil%2C%20Bandung,osm
pasir-batulayang,Pasir Batulayang,Alam,,,,-6.968889,107.453333,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Batulayang%2C%20Bandung,osm
paisr-almena,Paisr Almena,Alam,,,,-7.203056,107.560278,,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Paisr%20Almena%2C%20Bandung,osm
pasir-bojongsayong,Pasir Bojongsayong,Alam,,,,-6.930556,107.370278,,"['mt', 'peak', 'modify_date:_2002-09-24']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bojongsayong%2C%20Bandung,osm
pasir-angin,Pasir Angin,Alam,,,,-6.945,107.402222,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Angin%2C%20Bandung,osm
pasir-hiris,Pasir Hiris,Alam,,,,-6.977222,107.511389,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Hiris%2C%20Bandung,osm
pasir-tengah,Pasir Tengah,Alam,,,,-6.781944,107.369444,,"['mt', 'peak', 'modify_date:_2007-05-18']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Tengah%2C%20Bandung,osm
gunung-kutawaringin,Gunung Kutawaringin,Alam,,,,-7.0016,107.49,,"['mt', 'peak', 'modify_date:_2008-03-26']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kutawaringin%2C%20Bandung,osm
pasir-cadaspanjang,Pasir Cadaspanjang,Alam,,,,-7.125716,107.3795835,,"['2066', 'mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cadaspanjang%2C%20Bandung,osm
gunung-paseban,Gunung Paseban,Alam,,,,-6.965556,107.528889,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Paseban%2C%20Bandung,osm
pasir-cirangrang,Pasir Cirangrang,Alam,,,,-6.771667,107.433056,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cirangrang%2C%20Bandung,osm
gunung-bujung,Gunung Bujung,Alam,,,,-6.9825,107.889444,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Bujung%2C%20Bandung,osm
pasir-peundeuy,Pasir Peundeuy,Alam,,,,-6.825833,107.464167,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Peundeuy%2C%20Bandung,osm
pasir-patok,Pasir Patok,Alam,,,,-6.764444,107.876944,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Patok%2C%20Bandung,osm
gunung-dewata,Gunung Dewata,Alam,,,,-7.1963,107.475,,"['1840', 'mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Dewata%2C%20Bandung,osm
gunung-dano,Gunung Dano,Alam,,,,-7.1569,107.7532,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Dano%2C%20Bandung,osm
pasir-bongkor,Pasir Bongkor,Alam,,,,-6.889167,107.703889,,"['hll', 'peak', 'modify_date:_2002-09-23']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bongkor%2C%20Bandung,osm
pasir-masigit,Pasir Masigit,Alam,,,,-6.775833,107.542778,,"['1707', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Masigit%2C%20Bandung,osm
gunung-badaraksa,Gunung Badaraksa,Alam,,,,-6.962778,107.520278,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Badaraksa%2C%20Bandung,osm
